iter	Passed	Remaining
665	31832	15964
666	31879	15915
667	31927	15867
668	31972	15818
669	32014	15768
670	32059	15719
671	32112	15673
672	32160	15626
673	32206	15577
674	32249	15527
675	32289	15476
676	32347	15432
677	32388	15382
678	32443	15338
679	32492	15290
680	32542	15243
681	32595	15198
682	32652	15155
683	32718	15115
684	32769	15069
685	32816	15020
686	32867	14974
687	32927	14932
688	32973	14883
689	33032	14840
690	33093	14798
691	33137	14748
692	33188	14702
693	33242	14657
694	33294	14611
695	33337	14561
696	33376	14509
697	33422	14460
698	33464	14410
699	33506	14360
700	33545	14308
701	33587	14257
702	33638	14211
703	33686	14163
704	33729	14113
705	33774	14064
706	33814	14013
707	33853	13962
708	33912	13918
709	33955	13868
710	34002	13820
711	34047	13771
712	34090	13722
713	34150	13679
714	34196	13630
715	34253	13586
716	34317	13545
717	34364	13497
718	34409	13447
719	34464	13403
720	34512	13355
721	34557	13305
722	34603	13257
723	34655	13211
724	34703	13163
725	34749	13115
726	34808	13071
727	34849	13020
728	34895	12972
729	34934	12920
730	34977	12871
731	35020	12821
732	35062	12771
733	35105	12722
734	35150	12673
735	35192	12623
736	35235	12573
737	35274	12522
738	35313	12472
739	35356	12422
740	35400	12373
741	35436	12321
742	35477	12271
743	35516	12220
744	35552	12169
745	35595	12119
746	35638	12070
747	35683	12021
748	35723	11971
749	35764	11921
750	35799	11869
751	35842	11820
752	35884	11770
753	35923	11720
754	35963	11670
755	36000	11619
756	36041	11569
757	36082	11519
758	36119	11468
759	36160	11418
760	36197	11368
761	36238	11318
762	36282	11269
763	36324	11220
764	36369	11172
765	36411	11123
766	36453	11073
767	36495	11024
768	36534	10974
769	36571	10924
770	36611	10874
771	36652	10824
772	36692	10775
773	36734	10725
774	36774	10676
775	36813	10626
776	36854	10577
777	36900	10529
778	36939	10479
779	36978	10429
780	37019	10380
781	37064	10332
782	37112	10285
783	37160	10238
784	37207	10190
785	37252	10142
786	37291	10092
787	37331	10043
788	37375	9995
789	37427	9949
790	37471	9900
791	37511	9851
792	37557	9803
793	37599	9754
794	37637	9705
795	37678	9656
796	37717	9606
797	37757	9557
798	37797	9508
799	37842	9460
800	37885	9412
801	37930	9364
802	37974	9316
803	38027	9270
804	38072	9222
805	38118	9174
806	38157	9125
807	38195	9076
808	38233	9026
809	38279	8979
810	38334	8933
811	38378	8885
812	38418	8836
813	38460	8788
814	38501	8739
815	38538	8690
816	38584	8642
817	38637	8596
818	38683	8549
819	38735	8502
820	38786	8456
821	38827	8407
822	38868	8359
823	38924	8313
824	38966	8265
825	39018	8219
826	39057	8170
827	39100	8122
828	39147	8074
829	39194	8027
830	39244	7981
831	39296	7934
832	39341	7887
833	39395	7841
834	39439	7793
835	39486	7746
836	39530	7698
837	39585	7652
838	39629	7604
839	39671	7556
840	39716	7508
841	39756	7460
842	39796	7411
843	39838	7363
844	39885	7316
845	39941	7270
846	40003	7226
847	40056	7179
848	40104	7132
849	40150	7085
850	40194	7037
851	40247	6991
852	40311	6946
853	40372	6902
854	40428	6856
855	40481	6810
856	40535	6763
857	40585	6716
858	40635	6670
859	40682	6622
860	40730	6575
861	40775	6527
862	40835	6482
863	40890	6436
864	40938	6389
865	40985	6341
866	41030	6294
867	41080	6247
868	41134	6200
869	41183	6153
870	41225	6105
871	41273	6058
872	41324	6011
873	41386	5966
874	41444	5920
875	41496	5873
876	41559	5828
877	41616	5782
878	41670	5736
879	41717	5688
880	41766	5641
881	41817	5594
882	41875	5548
883	41926	5501
884	41973	5454
885	42037	5408
886	42088	5361
887	42138	5314
888	42200	5269
889	42258	5222
890	42315	5176
891	42366	5129
892	42427	5083
893	42495	5038
894	42559	4992
895	42617	4946
896	42675	4900
897	42718	4852
898	42760	4804
899	42802	4755
900	42844	4707
901	42897	4660
902	42945	4613
903	42997	4566
904	43050	4519
905	43094	4471
906	43135	4422
907	43173	4374
908	43213	4326
909	43254	4277
910	43297	4229
911	43335	4181
912	43375	4133
